RestaurantID,RestaurantName,CuisineType,Segment,Subregion,GrowthFactor,AOV,MonthlyOrders,InStoreOrdersCount,UberEatsOrdersCount,DoorDashOrdersCount,SelfDeliveryOrdersCount,InStoreRevenue,UberEatsRevenue,DoorDashRevenue,SelfDeliveryRevenue,TotalRevenue,COGSRate,OPEXRate,CommissionRate,DeliveryRadiusKM,DeliveryCostOrder,SD_DeliveryTotalCost,InStoreNetProfit,UberEatsNetProfit,DoorDashNetProfit,SelfDeliveryNetProfit,TotalNetProfit,InStoreShare,UE_share,DD_share,SD_share,NetMarginPct,AggregatorDependence,AggregatorRevenueShare,CostBurden,DeliveryEfficiency,ScaleIndex,RevenuePerOrder,TotalRevenue_pt,MonthlyOrders_pt,ScaleIndex_pt,SD_DeliveryTotalCost_pt,PC1,PC2,PC3,ClusterID,GPI,ClusterLabel,StrategicRecommendation
11,Karaka Kebabs #11,Vegan/Plant-Based,QSR,West Auckland,0.9965,29.79,5955,2129,1823,1188,815,63422.91,57714.52,37699.46,24944.46,183781.35,0.3683,0.2,0.3055,10.2,3.14,2559.1,27379.67,7283.57,4757.67,8209.42,47630.33,0.3575,0.4765,0.3105,0.213,0.25916846295883667,0.7869999999999999,0.5191711781418517,0.5683,72.76785714285715,5934.1575,30.861687657430732,1.2557106128022506,1.5376402689933655,1.4909453170469746,0.8667548718187902,-3.1311984473905765,1.3627833075433267,-0.5644170613841399,4,56.8,High-Growth / High-Risk,Optimize: strong momentum but monitor cost burden; reinforce operational capacity ahead of scale
12,Pohutukawa Pub #12,Sushi,Fine Dining,Devonport,1.0005,39.95,1063,584,86,221,172,23330.8,3648.38,10098.53,7228.22,44305.93,0.3518,0.5061,0.3264,6.0,3.33,572.76,3315.31,-672.4,-1861.16,454.37,1236.12,0.5494,0.1795,0.4614,0.3591,0.02789965135592459,0.6409,0.31027246239950274,0.8579,24.571428571428573,1063.5315,41.68008466603951,-1.6684701527121326,-1.6637612833644209,-1.66708671762047,-1.1070525962809996,5.783036143955771,-0.20091517188448133,0.14973994130837998,3,14.2,"Overextended, Low Return","Hold / stabilize: pause expansion, reduce cost burden and delivery radius before reinvesting"
13,Rangitoto Roast #13,Indian,Cafe,West Auckland,0.99,30.8,3348,1534,680,742,392,47247.2,21382.17,25138.22,12554.32,106321.91,0.257,0.3459,0.2872,4.1,1.33,521.36,18761.86,2349.9,2762.69,4463.96,28338.41,0.4582,0.3749,0.409,0.2161,0.2665340568091751,0.7839,0.4375428357146706,0.6029,76.86274509803923,3314.52,31.756842891278374,-0.12454299329904918,0.14166378792804102,0.10575378434492064,-1.2138068184491937,-1.4541482900892089,0.3550729755252039,-1.9048938337491699,1,47.4,Stable Local Performers,"Hold / stabilize: protect margin, selectively test growth levers before scaling"
14,Rangitoto Roast #14,Korean BBQ,QSR,South Auckland,1.0187,32.29,6546,2167,1643,1478,1258,69972.43,58225.68,51045.46,40923.75,220167.32,0.2645,0.2758,0.2712,5.5,2.8,3522.4,32166.33,10975.54,9622.07,15290.25,68054.19,0.331,0.3752,0.3375,0.2873,0.30910214104436573,0.7127,0.4963095340398384,0.5403,193.53846153846155,6668.410199999999,33.63387106630003,1.8026039192141616,1.809181895390422,1.8205361206488655,1.3629851452722297,-3.370329470584613,-0.9236367232027866,1.7161999766100355,4,77.8,High-Growth / High-Risk,Optimize: strong momentum but monitor cost burden; reinforce operational capacity ahead of scale
15,Gecko Cafe #15,Bakery/Desserts,Bar/Pub,Manukau,0.99,33.57,1713,810,306,345,252,27191.7,10830.46,11871.87,8509.07,58403.1,0.2766,0.312,0.3027,9.3,3.36,846.72,11186.67,1177.27,1290.47,2653.91,16308.32,0.4729,0.3389,0.3821,0.2791,0.27923723227020486,0.721,0.38871789339949425,0.5886,24.466019417475728,1695.87,34.09404553415061,-1.253343951132607,-1.039203402053639,-1.0590561274073054,-0.642840766590777,0.17336145684006618,-1.216668116288157,-2.444485728941788,1,42.3,Stable Local Performers,"Hold / stabilize: protect margin, selectively test growth levers before scaling"
16,Tui Table #16,Steakhouse,QSR,Ponsonby,0.9928,34.91,6336,1806,1446,2227,857,63047.46,52722.26,85366.3,30362.23,231498.25,0.2471,0.3179,0.3061,12.5,2.52,2159.64,27425.65,6795.9,11003.72,11047.93,56273.2,0.285,0.3192,0.4916,0.1892,0.24308261509536247,0.8108,0.5964993687857252,0.565,63.48148148148148,6290.3808,36.536971275252526,1.9636940086848111,1.7141154462580626,1.653236674329702,0.6147456575435873,-2.9358555686729666,1.9235541718720184,-1.7920800282992233,1,55.7,Stable Local Performers,"Hold / stabilize: protect margin, selectively test growth levers before scaling"
17,Karaka Kebabs #17,Thai,QSR,South Auckland,1.0227,29.79,4029,1173,854,1199,803,34943.67,26083.19,36860.96,24286.67,122174.49,0.3165,0.2553,0.2692,12.7,3.98,3195.94,14962.88,4147.23,5860.89,7203.61,32174.61,0.2911,0.299,0.4198,0.2812,0.2633496567082048,0.7188,0.5151987947729513,0.5718000000000001,58.61313868613139,4120.458299999999,30.32377513030529,0.19036398904693105,0.5463013752501268,0.5766330035946744,1.2088277636029712,-2.469148171062456,-0.2661805425755354,0.06655249931226394,4,62.3,High-Growth / High-Risk,Optimize: strong momentum but monitor cost burden; reinforce operational capacity ahead of scale
18,Spice Route #18,Chinese,QSR,East Auckland,1.0156,30.58,4183,1434,1041,808,900,43851.72,33978.33,26945.53,28861.33,133636.91,0.3245,0.2,0.2899,11.7,5.31,4779.0,20851.49,6306.38,5001.09,8944.56,41103.52,0.3428,0.3787,0.2939,0.3274,0.30757610303919775,0.6726,0.4558909660512204,0.5245,70.86614173228347,4248.254800000001,31.947623715037057,0.405727530457748,0.6330728166629568,0.6469307074330012,1.8647738757184324,-2.193674602598273,-1.8647576206895817,0.37827132507829003,4,64.1,High-Growth / High-Risk,Optimize: strong momentum but monitor cost burden; reinforce operational capacity ahead of scale
19,Manuka Street Food #19,Seafood,QSR,Auckland CBD,1.0028,29.95,5320,1870,1361,1162,927,56006.5,46234.89,38899.95,28158.59,169299.93,0.3131,0.3204,0.3154,6.9,1.76,1631.52,20526.38,2362.6,1987.79,8688.6,33565.37,0.3515,0.3945,0.3368,0.2687,0.1982597984535493,0.7313000000000001,0.5028640000028352,0.6335,117.34177215189872,5334.896,31.823295112781953,1.02338918987732,1.2308355525992696,1.2065762016004702,0.2151574778324955,-1.959649820411778,0.6346539207503609,0.8439243360178612,4,57.3,High-Growth / High-Risk,Optimize: strong momentum but monitor cost burden; reinforce operational capacity ahead of scale
20,The Copper Pan #20,Steakhouse,QSR,North Shore,1.0338,31.84,3981,1085,995,1017,884,34546.4,33701.0,34812.02,30131.95,133191.37,0.2934,0.326,0.3367,9.6,1.68,1485.12,13148.36,1479.47,1528.25,9983.1,26139.18,0.2725,0.3436,0.3512,0.3052,0.19625280526808908,0.6948000000000001,0.514395339577932,0.6194,83.39622641509435,4115.5578000000005,33.45676212007033,0.39752966725889516,0.5189273850581801,0.5739159165268495,0.08573156582087334,-1.645952681490848,0.15943985505536087,1.2842495524961703,4,62.9,High-Growth / High-Risk,Optimize: strong momentum but monitor cost burden; reinforce operational capacity ahead of scale
21,Karaka Kebabs #21,Indian,QSR,Auckland CBD,1.0054,32.98,3825,1214,1084,1027,500,40037.72,39621.35,35866.23,16766.72,132292.02,0.3169,0.29,0.3023,8.4,1.83,915.0,15738.83,3597.62,3256.65,5676.0,28269.1,0.3174,0.4152,0.3933,0.1915,0.21368711430969156,0.8085,0.570613253921136,0.6069,53.191489361702125,3845.655,34.58614901960784,0.3809407200462341,0.42883541409255543,0.4216982963999459,-0.5467016907964974,-2.229879441589582,2.418970943187772,-0.9915864357538063,4,50.3,High-Growth / High-Risk,Optimize: strong momentum but monitor cost burden; reinforce operational capacity ahead of scale
22,Little Saigon #22,Burgers,QSR,Auckland CBD,1.0125,29.79,3687,1084,1090,749,764,32292.36,36314.09,22896.41,22925.49,114428.35,0.3051,0.2426,0.2813,8.8,4.57,3491.48,14605.83,6209.71,3915.29,6877.72,31608.55,0.294,0.4187,0.2877,0.2935,0.2762300601205907,0.7064,0.5174460699643052,0.5477,77.95918367346938,3733.0874999999996,31.03562516951451,0.03916527137124843,0.34763821256560024,0.35664664703288756,1.3488969843484668,-2.668828577821216,-0.6321731604081984,0.5434085878402178,4,62.8,High-Growth / High-Risk,Optimize: strong momentum but monitor cost burden; reinforce operational capacity ahead of scale
23,Blue Wave Sushi #23,Sushi,QSR,Ponsonby,1.016,34.53,5081,1547,1516,1257,761,53417.91,55627.21,44412.1,28118.31,181575.53,0.2767,0.3044,0.2784,16.6,3.95,3005.95,22376.76,7815.62,6239.9,8772.81,45205.09,0.3045,0.429,0.3557,0.2153,0.24896025362007754,0.7847,0.5509514966030941,0.5811,43.23863636363636,5162.296,35.73617988584924,1.2209180972737395,1.1107804475173337,1.1217557859494853,1.113090859193568,-2.4411766947564524,1.4576260431779993,-1.12647109037249,4,56.9,High-Growth / High-Risk,Optimize: strong momentum but monitor cost burden; reinforce operational capacity ahead of scale
24,The Brass Fork #24,Bakery/Desserts,Casual Dining,Ponsonby,0.9967,38.22,3018,979,848,678,513,37417.38,36520.65,27880.06,20070.1,121888.19,0.3755,0.3068,0.2967,3.3,2.65,1359.45,11887.5,766.93,585.48,5016.82,18256.73,0.3244,0.4159,0.3325,0.2516,0.14978259993851742,0.7484,0.5283589000706304,0.6823,119.30232558139535,3008.0406000000003,40.38707422133864,0.18486073670973696,-0.06882973757258098,-0.08811886326309747,-0.03396108535276628,-0.01905238405855653,2.0304630292925983,1.3064804192902457,2,48.5,Aggregator-Dependent Low Margin,"Rebalance channels: shift volume toward in-store/self-delivery, renegotiate commission exposure"
25,Tui Table #25,Thai,Casual Dining,Ponsonby,1.0131,31.38,1899,709,402,460,328,22248.42,14001.68,16381.11,10642.94,63274.15,0.3094,0.3286,0.2765,8.7,2.84,931.52,8053.93,1197.14,1400.58,2921.22,13572.87,0.3734,0.3378,0.3866,0.2756,0.2145089266311756,0.7243999999999999,0.48017697590564234,0.638,33.81443298969072,1923.8768999999998,33.319720905739864,-1.1216163915435844,-0.8829462010007431,-0.868669905835707,-0.5243245562147665,-0.4212018844050654,0.1952441957745444,-0.6041800852023328,1,47.6,Stable Local Performers,"Hold / stabilize: protect margin, selectively test growth levers before scaling"
26,Arataki Eatery #26,Italian,Cafe,Auckland CBD,0.997,29.79,3699,1544,731,847,577,45995.76,23795.2,26537.34,18507.59,114835.89,0.3033,0.3125,0.2857,13.7,1.9,1096.3,17671.57,2343.83,2613.93,6014.32,28643.65,0.4174,0.3392,0.393,0.2677,0.24943116651074854,0.7322,0.43829973364598823,0.6158,39.25170068027211,3687.903,31.045117599351176,0.04724289601002919,0.35475684012516645,0.33026087844449437,-0.31721105012749995,-1.079440634694202,-0.3077121029196632,-1.5054573520510088,1,46.8,Stable Local Performers,"Hold / stabilize: protect margin, selectively test growth levers before scaling"
27,Nikau Noodle House #27,Italian,Cafe,Auckland CBD,0.9988,30.96,4054,1832,762,718,742,56718.72,24066.39,24332.77,24707.87,129825.75,0.2074,0.3922,0.2483,4.4,3.78,2804.76,22710.18,3660.5,3701.01,7088.27,37159.96,0.4519,0.3429,0.3231,0.3339,0.28622950377717826,0.6659999999999999,0.3728009273969147,0.5996,137.4074074074074,4049.1352,32.024111988159845,0.3351633633814988,0.560495886745888,0.5369278289996707,1.0061636433497172,-0.8811882334391596,-2.64695662907025,0.40334550291048105,0,57.2,Scalable Self-Delivery Leaders,"Optimize: invest in expansion capacity, replicate channel mix in new sites"
28,Kiwi Kitchen Co #28,Vegan/Plant-Based,Casual Dining,West Auckland,1.0264,37.23,2137,714,547,521,355,26582.22,20865.01,21510.3,13972.55,82930.08,0.3583,0.3619,0.3189,7.2,2.38,844.9,7437.71,-815.82,-841.05,3064.62,8845.46,0.3341,0.3844,0.3661,0.2495,0.10666166003939703,0.7505,0.5109763550210008,0.7202,43.29268292682927,2193.4168,38.80677585400094,-0.6348342791640028,-0.6934830776128412,-0.6575606048237664,-0.6454886859397377,0.7433239008965838,2.4482043819785364,0.596156479551012,2,45.3,Aggregator-Dependent Low Margin,"Rebalance channels: shift volume toward in-store/self-delivery, renegotiate commission exposure"
29,Silver Fern Diner #29,Burgers,Bar/Pub,Manukau,0.99,35.64,1717,856,369,293,199,30507.84,15108.22,10733.95,7131.48,63481.49,0.3041,0.3176,0.2458,7.6,2.51,499.49,11541.12,2001.84,1422.25,2198.35,17163.56,0.4985,0.4286,0.3403,0.2311,0.2703710955744738,0.7688999999999999,0.4070819698781487,0.6216999999999999,23.13953488372093,1699.83,36.97232964472918,-1.1161216363549264,-1.0357586458236239,-1.055644435799725,-1.261849466143191,0.40515103281367904,0.22870528455017042,-2.4219275835570047,1,39.0,Stable Local Performers,"Hold / stabilize: protect margin, selectively test growth levers before scaling"
30,The Copper Pan #30,Pizza,Bar/Pub,South Auckland,0.99,35.9,2649,1104,759,490,296,39633.6,30564.11,18292.93,11130.81,99621.45,0.2609,0.4377,0.267,8.7,3.47,1027.12,11945.57,1051.41,629.28,2327.71,15953.97,0.4168,0.4913,0.3172,0.1916,0.16014593242720318,0.8085,0.49042691107186254,0.6986,30.515463917525775,2622.5099999999998,37.60719139297848,-0.2645370929875263,-0.31793463554369317,-0.34654973805839273,-0.4008409681388814,0.1851609585671281,2.4137647344812136,-1.781429550593648,1,32.7,Stable Local Performers,"Hold / stabilize: protect margin, selectively test growth levers before scaling"
31,The Copper Pan #31,Indian,QSR,East Auckland,1.0362,32.79,6433,1862,1930,1628,1013,61054.98,72263.75,56748.72,35844.55,225912.0,0.3168,0.3176,0.2829,3.9,2.59,2623.67,22321.7,5976.21,4693.12,10481.1,43472.13,0.2894,0.4222,0.3562,0.2216,0.19242948581748645,0.7784,0.5710740022663692,0.6344000000000001,206.734693877551,6665.8746,35.11767449090627,1.8847702465828704,1.7582144537825322,1.8194299265195373,0.9044215229233554,-3.1992141919921906,2.204188399195309,2.712024173253458,4,73.4,High-Growth / High-Risk,Optimize: strong momentum but monitor cost burden; reinforce operational capacity ahead of scale
32,Cafe Aroha #32,Italian,QSR,North Shore,1.05,35.32,5588,1892,1176,1516,1004,66825.44,47239.23,59280.45,38147.59,211492.71,0.3168,0.3169,0.3397,11.6,2.54,2550.16,24478.16,1256.56,1576.86,11423.3,38734.88,0.3386,0.3182,0.4102,0.2716,0.18314995349012267,0.7283999999999999,0.5036565090115872,0.6337,79.68253968253968,5867.400000000001,37.84765748031496,1.6765125594124153,1.3623805356983094,1.4599969117658067,0.8614787697542503,-1.21687949177481,1.0743690598641213,0.9893952205009134,4,66.6,High-Growth / High-Risk,Optimize: strong momentum but monitor cost burden; reinforce operational capacity ahead of scale
33,Golden Wok #33,Bar & Grill,QSR,Devonport,1.0059,29.79,6233,1835,1604,1464,1330,54664.65,48865.81,46973.98,39956.69,190461.13,0.2807,0.2815,0.2673,11.8,2.81,3737.3,23932.18,8331.62,8009.06,13755.74,54028.6,0.2944,0.3647,0.3329,0.3024,0.28367257928166234,0.6976,0.50319868416196,0.5622,103.90625,6269.7747,30.55689555591208,1.35984102836429,1.6669278875093496,1.6439754025190523,1.4582047050880584,-2.9719564160159613,-0.951599602624476,0.7219003623976464,4,66.6,High-Growth / High-Risk,Optimize: strong momentum but monitor cost burden; reinforce operational capacity ahead of scale
34,Silver Fern Diner #34,Italian,QSR,South Auckland,0.99,29.79,3890,993,951,938,1008,29581.47,31813.22,31168.91,30979.54,123543.14,0.3164,0.2702,0.26,11.3,3.67,3699.36,12228.98,4880.15,4781.31,9107.58,30998.02,0.2553,0.3283,0.3238,0.3479,0.2509084680865324,0.6520999999999999,0.5097986824683265,0.5866,81.95121951219512,3851.1,31.759161953727506,0.21658524278686933,0.46658679995423513,0.42482072673024845,1.4417248141490955,-1.7284652426406444,-1.495980479515181,1.0695654219078317,4,55.0,High-Growth / High-Risk,Optimize: strong momentum but monitor cost burden; reinforce operational capacity ahead of scale
35,Westfield Wok #35,Thai,Casual Dining,Auckland CBD,1.0013,34.17,2439,930,641,529,339,31778.1,23625.62,20476.19,11876.03,87755.94,0.2957,0.2707,0.2635,6.5,4.61,1562.79,13778.98,4018.72,3483.0,3586.66,24867.36,0.3813,0.4248,0.3506,0.2247,0.28336953601089565,0.7754000000000001,0.5025507105274013,0.5664,45.2,2442.1707,35.98029520295203,-0.5242894095948205,-0.46727920385605415,-0.47392157785473843,0.15563072657191404,-1.4823753833192397,0.5951766870633666,-1.4700361394665207,1,51.5,Stable Local Performers,"Hold / stabilize: protect margin, selectively test growth levers before scaling"
36,Harbor Bites #36,Bakery/Desserts,Cafe,Devonport,1.0007,32.01,3888,1598,951,815,524,51151.98,34174.93,29181.9,16947.32,131456.13,0.2617,0.3984,0.3298,9.8,3.44,1802.56,17386.56,345.17,294.74,3957.83,21984.3,0.411,0.4153,0.3559,0.2288,0.16723678081805693,0.7712,0.4819617769061055,0.6600999999999999,48.51851851851851,3890.7216,33.81073302469136,0.36547268714410297,0.4654298112198559,0.44747587075585277,0.3548647869966804,-0.7644939242665975,1.3600705097178938,-1.2541236980718224,1,43.3,Stable Local Performers,"Hold / stabilize: protect margin, selectively test growth levers before scaling"
37,Manuka Street Food #37,Sushi,QSR,Newmarket,1.0092,36.36,4484,1572,1174,846,892,57157.92,43577.64,35343.64,34235.88,170315.08,0.3338,0.3224,0.2,6.4,3.68,3282.56,19650.89,6266.46,5082.42,8487.74,39487.51,0.3506,0.4032,0.2905,0.3063,0.23184975752000353,0.6937,0.46338398220521637,0.6562,120.54054054054053,4525.2528,37.98284567350579,1.0399849665339571,0.7983009617926048,0.7957754497835055,1.250940190087899,-0.4384657561789539,-0.19793352178433316,1.9311183521351363,4,57.8,High-Growth / High-Risk,Optimize: strong momentum but monitor cost burden; reinforce operational capacity ahead of scale
38,Kiwi Kitchen Co #38,Steakhouse,Cafe,Auckland CBD,0.99,29.79,3876,1650,786,846,594,49153.5,24760.5,28177.9,18082.93,120174.83,0.3092,0.341,0.2499,8.3,2.58,1532.52,17193.89,2473.57,2814.97,4792.89,27275.32,0.4257,0.3531,0.3801,0.2668,0.22696366618534014,0.7332000000000001,0.44051154472196885,0.6502,63.87096774193548,3837.24,31.00485810113519,0.1517932955500309,0.4584817955899282,0.4168683927733583,0.12873392724120958,-0.8121267569940566,-0.052843977407544936,-0.6558222396091364,1,45.9,Stable Local Performers,"Hold / stabilize: protect margin, selectively test growth levers before scaling"
39,Kowhai Kitchen #39,Steakhouse,Casual Dining,East Auckland,1.0147,29.79,2645,926,593,715,411,27585.54,19744.2,24085.51,12581.48,83996.73,0.2988,0.3731,0.35,17.0,2.02,830.22,9050.82,-432.4,-527.47,3297.76,11388.71,0.3501,0.345,0.4159,0.2391,0.1355851590889312,0.7608999999999999,0.5218025749335718,0.6718999999999999,22.833333333333332,2683.8815,31.756797731568998,-0.6101348767004742,-0.32072437944992144,-0.3042033219411971,-0.667018520122671,-0.8133617401476739,1.7112285909306737,-1.3614275094597068,1,40.7,Stable Local Performers,"Hold / stabilize: protect margin, selectively test growth levers before scaling"
40,Waterfront Grill #40,Italian,QSR,Ponsonby,1.0199,29.79,6100,2093,1586,1380,1041,62350.47,53062.69,46380.84,31235.56,193029.56,0.278,0.3368,0.2977,9.8,3.52,3664.32,24017.4,4642.99,4058.32,8367.62,41086.33,0.3431,0.3958,0.3444,0.2598,0.21284993863116095,0.7402,0.5151725466296457,0.6148,96.38888888888889,6221.39,31.644190163934425,1.3994024713960769,1.6054320142626186,1.6221695158103948,1.4263815265550268,-2.4820072052827364,0.6098065018737587,0.6004188552210361,4,63.3,High-Growth / High-Risk,Optimize: strong momentum but monitor cost burden; reinforce operational capacity ahead of scale
41,Ponsonby Pizza Co #41,Mexican,Bar/Pub,Devonport,0.99,33.08,2132,984,416,481,251,32550.72,15145.15,17740.26,8633.85,74069.98,0.2406,0.2623,0.2468,5.3,2.99,750.49,16180.96,3790.83,4440.39,3541.4,27953.58,0.4615,0.3624,0.419,0.2186,0.3773941885768027,0.7814,0.44397757364049506,0.5029,39.84126984126984,2110.68,34.74201688555347,-0.8463392911069185,-0.6973546848708417,-0.7209164261865235,-0.7896933762557846,-1.7834909798370426,-0.8370715630864396,-3.2399580348145043,1,52.1,Stable Local Performers,"Hold / stabilize: protect margin, selectively test growth levers before scaling"
