RestaurantID,RestaurantName,CuisineType,Segment,Subregion,GrowthFactor,AOV,MonthlyOrders,InStoreOrdersCount,UberEatsOrdersCount,DoorDashOrdersCount,SelfDeliveryOrdersCount,InStoreRevenue,UberEatsRevenue,DoorDashRevenue,SelfDeliveryRevenue,TotalRevenue,COGSRate,OPEXRate,CommissionRate,DeliveryRadiusKM,DeliveryCostOrder,SD_DeliveryTotalCost,InStoreNetProfit,UberEatsNetProfit,DoorDashNetProfit,SelfDeliveryNetProfit,TotalNetProfit,InStoreShare,UE_share,DD_share,SD_share
15,Gecko Cafe #15,Bakery/Desserts,Bar/Pub,Manukau,0.99,33.57,1713,810,306,345,252,27191.7,10830.46,11871.87,8509.07,58403.1,0.2766,0.312,0.3027,9.3,3.36,846.72,11186.67,1177.27,1290.47,2653.91,16308.32,0.4729,0.3389,0.3821,0.2791
16,Tui Table #16,Steakhouse,QSR,Ponsonby,0.9928,34.91,6336,1806,1446,2227,857,63047.46,52722.26,85366.3,30362.23,231498.25,0.2471,0.3179,0.3061,12.5,2.52,2159.64,27425.65,6795.9,11003.72,11047.93,56273.2,0.285,0.3192,0.4916,0.1892
17,Karaka Kebabs #17,Thai,QSR,South Auckland,1.0227,29.79,4029,1173,854,1199,803,34943.67,26083.19,36860.96,24286.67,122174.49,0.3165,0.2553,0.2692,12.7,3.98,3195.94,14962.88,4147.23,5860.89,7203.61,32174.61,0.2911,0.299,0.4198,0.2812
18,Spice Route #18,Chinese,QSR,East Auckland,1.0156,30.58,4183,1434,1041,808,900,43851.72,33978.33,26945.53,28861.33,133636.91,0.3245,0.2,0.2899,11.7,5.31,4779.0,20851.49,6306.38,5001.09,8944.56,41103.52,0.3428,0.3787,0.2939,0.3274
19,Manuka Street Food #19,Seafood,QSR,Auckland CBD,1.0028,29.95,5320,1870,1361,1162,927,56006.5,46234.89,38899.95,28158.59,169299.93,0.3131,0.3204,0.3154,6.9,1.76,1631.52,20526.38,2362.6,1987.79,8688.6,33565.37,0.3515,0.3945,0.3368,0.2687
20,The Copper Pan #20,Steakhouse,QSR,North Shore,1.0338,31.84,3981,1085,995,1017,884,34546.4,33701.0,34812.02,30131.95,133191.37,0.2934,0.326,0.3367,9.6,1.68,1485.12,13148.36,1479.47,1528.25,9983.1,26139.18,0.2725,0.3436,0.3512,0.3052
21,Karaka Kebabs #21,Indian,QSR,Auckland CBD,1.0054,32.98,3825,1214,1084,1027,500,40037.72,39621.35,35866.23,16766.72,132292.02,0.3169,0.29,0.3023,8.4,1.83,915.0,15738.83,3597.62,3256.65,5676.0,28269.1,0.3174,0.4152,0.3933,0.1915
22,Little Saigon #22,Burgers,QSR,Auckland CBD,1.0125,29.79,3687,1084,1090,749,764,32292.36,36314.09,22896.41,22925.49,114428.35,0.3051,0.2426,0.2813,8.8,4.57,3491.48,14605.83,6209.71,3915.29,6877.72,31608.55,0.294,0.4187,0.2877,0.2935
23,Blue Wave Sushi #23,Sushi,QSR,Ponsonby,1.016,34.53,5081,1547,1516,1257,761,53417.91,55627.21,44412.1,28118.31,181575.53,0.2767,0.3044,0.2784,16.6,3.95,3005.95,22376.76,7815.62,6239.9,8772.81,45205.09,0.3045,0.429,0.3557,0.2153
24,The Brass Fork #24,Bakery/Desserts,Casual Dining,Ponsonby,0.9967,38.22,3018,979,848,678,513,37417.38,36520.65,27880.06,20070.1,121888.19,0.3755,0.3068,0.2967,3.3,2.65,1359.45,11887.5,766.93,585.48,5016.82,18256.73,0.3244,0.4159,0.3325,0.2516
25,Tui Table #25,Thai,Casual Dining,Ponsonby,1.0131,31.38,1899,709,402,460,328,22248.42,14001.68,16381.11,10642.94,63274.15,0.3094,0.3286,0.2765,8.7,2.84,931.52,8053.93,1197.14,1400.58,2921.22,13572.87,0.3734,0.3378,0.3866,0.2756
26,Arataki Eatery #26,Italian,Cafe,Auckland CBD,0.997,29.79,3699,1544,731,847,577,45995.76,23795.2,26537.34,18507.59,114835.89,0.3033,0.3125,0.2857,13.7,1.9,1096.3,17671.57,2343.83,2613.93,6014.32,28643.65,0.4174,0.3392,0.393,0.2677
27,Nikau Noodle House #27,Italian,Cafe,Auckland CBD,0.9988,30.96,4054,1832,762,718,742,56718.72,24066.39,24332.77,24707.87,129825.75,0.2074,0.3922,0.2483,4.4,3.78,2804.76,22710.18,3660.5,3701.01,7088.27,37159.96,0.4519,0.3429,0.3231,0.3339
28,Kiwi Kitchen Co #28,Vegan/Plant-Based,Casual Dining,West Auckland,1.0264,37.23,2137,714,547,521,355,26582.22,20865.01,21510.3,13972.55,82930.08,0.3583,0.3619,0.3189,7.2,2.38,844.9,7437.71,-815.82,-841.05,3064.62,8845.46,0.3341,0.3844,0.3661,0.2495
29,Silver Fern Diner #29,Burgers,Bar/Pub,Manukau,0.99,35.64,1717,856,369,293,199,30507.84,15108.22,10733.95,7131.48,63481.49,0.3041,0.3176,0.2458,7.6,2.51,499.49,11541.12,2001.84,1422.25,2198.35,17163.56,0.4985,0.4286,0.3403,0.2311
30,The Copper Pan #30,Pizza,Bar/Pub,South Auckland,0.99,35.9,2649,1104,759,490,296,39633.6,30564.11,18292.93,11130.81,99621.45,0.2609,0.4377,0.267,8.7,3.47,1027.12,11945.57,1051.41,629.28,2327.71,15953.97,0.4168,0.4913,0.3172,0.1916
31,The Copper Pan #31,Indian,QSR,East Auckland,1.0362,32.79,6433,1862,1930,1628,1013,61054.98,72263.75,56748.72,35844.55,225912.0,0.3168,0.3176,0.2829,3.9,2.59,2623.67,22321.7,5976.21,4693.12,10481.1,43472.13,0.2894,0.4222,0.3562,0.2216
32,Cafe Aroha #32,Italian,QSR,North Shore,1.05,35.32,5588,1892,1176,1516,1004,66825.44,47239.23,59280.45,38147.59,211492.71,0.3168,0.3169,0.3397,11.6,2.54,2550.16,24478.16,1256.56,1576.86,11423.3,38734.88,0.3386,0.3182,0.4102,0.2716
33,Golden Wok #33,Bar & Grill,QSR,Devonport,1.0059,29.79,6233,1835,1604,1464,1330,54664.65,48865.81,46973.98,39956.69,190461.13,0.2807,0.2815,0.2673,11.8,2.81,3737.3,23932.18,8331.62,8009.06,13755.74,54028.6,0.2944,0.3647,0.3329,0.3024
34,Silver Fern Diner #34,Italian,QSR,South Auckland,0.99,29.79,3890,993,951,938,1008,29581.47,31813.22,31168.91,30979.54,123543.14,0.3164,0.2702,0.26,11.3,3.67,3699.36,12228.98,4880.15,4781.31,9107.58,30998.02,0.2553,0.3283,0.3238,0.3479
35,Westfield Wok #35,Thai,Casual Dining,Auckland CBD,1.0013,34.17,2439,930,641,529,339,31778.1,23625.62,20476.19,11876.03,87755.94,0.2957,0.2707,0.2635,6.5,4.61,1562.79,13778.98,4018.72,3483.0,3586.66,24867.36,0.3813,0.4248,0.3506,0.2247
36,Harbor Bites #36,Bakery/Desserts,Cafe,Devonport,1.0007,32.01,3888,1598,951,815,524,51151.98,34174.93,29181.9,16947.32,131456.13,0.2617,0.3984,0.3298,9.8,3.44,1802.56,17386.56,345.17,294.74,3957.83,21984.3,0.411,0.4153,0.3559,0.2288
37,Manuka Street Food #37,Sushi,QSR,Newmarket,1.0092,36.36,4484,1572,1174,846,892,57157.92,43577.64,35343.64,34235.88,170315.08,0.3338,0.3224,0.2,6.4,3.68,3282.56,19650.89,6266.46,5082.42,8487.74,39487.51,0.3506,0.4032,0.2905,0.3063
38,Kiwi Kitchen Co #38,Steakhouse,Cafe,Auckland CBD,0.99,29.79,3876,1650,786,846,594,49153.5,24760.5,28177.9,18082.93,120174.83,0.3092,0.341,0.2499,8.3,2.58,1532.52,17193.89,2473.57,2814.97,4792.89,27275.32,0.4257,0.3531,0.3801,0.2668
39,Kowhai Kitchen #39,Steakhouse,Casual Dining,East Auckland,1.0147,29.79,2645,926,593,715,411,27585.54,19744.2,24085.51,12581.48,83996.73,0.2988,0.3731,0.35,17.0,2.02,830.22,9050.82,-432.4,-527.47,3297.76,11388.71,0.3501,0.345,0.4159,0.2391
40,Waterfront Grill #40,Italian,QSR,Ponsonby,1.0199,29.79,6100,2093,1586,1380,1041,62350.47,53062.69,46380.84,31235.56,193029.56,0.278,0.3368,0.2977,9.8,3.52,3664.32,24017.4,4642.99,4058.32,8367.62,41086.33,0.3431,0.3958,0.3444,0.2598
41,Ponsonby Pizza Co #41,Mexican,Bar/Pub,Devonport,0.99,33.08,2132,984,416,481,251,32550.72,15145.15,17740.26,8633.85,74069.98,0.2406,0.2623,0.2468,5.3,2.99,750.49,16180.96,3790.83,4440.39,3541.4,27953.58,0.4615,0.3624,0.419,0.2186
42,Rangitoto Roast #42,Indian,QSR,Ponsonby,1.0225,30.05,4896,1369,1370,1169,988,41138.45,43604.16,39492.61,30065.07,154300.29,0.322,0.2705,0.2787,10.1,1.24,1225.12,16763.92,5616.22,5086.65,11026.4,38493.19,0.2796,0.3884,0.3314,0.2801
43,Gecko Cafe #43,Bakery/Desserts,Bar/Pub,East Auckland,1.0328,34.57,1889,886,377,363,263,30629.02,13819.39,14324.69,9406.19,68179.29,0.23,0.2832,0.282,4.8,2.44,641.72,14910.21,2830.21,2933.7,3937.21,24611.33,0.469,0.3759,0.3619,0.2622
44,Urban Burger Bar #44,Indian,QSR,South Auckland,1.0146,32.14,4353,1292,1488,923,650,41524.88,54791.33,32091.15,21130.56,149537.92,0.3107,0.3886,0.3054,5.3,2.71,1761.5,12486.53,-257.52,-150.83,4592.46,16670.64,0.2968,0.4861,0.3015,0.2123
45,Golden Wok #45,Steakhouse,Bar/Pub,Devonport,0.9969,34.91,2524,979,740,468,337,34176.89,27825.09,18020.31,12662.41,92684.7,0.2824,0.3838,0.3352,5.9,2.24,754.88,11408.25,-38.96,-25.23,3471.83,14815.89,0.3879,0.479,0.3029,0.2181
46,Pohutukawa Pub #46,Italian,Bar/Pub,North Shore,0.9999,39.67,1697,680,391,372,254,26975.6,16722.79,16040.27,10193.05,69931.71,0.2574,0.2299,0.2917,7.9,4.43,1125.22,13830.39,3695.74,3544.9,4100.76,25171.79,0.4007,0.3845,0.3658,0.2498
47,The Copper Pan #47,Mexican,Food Truck,West Auckland,1.0192,29.79,1149,404,196,330,219,12035.16,6374.86,11114.93,6796.39,36321.34,0.3203,0.2,0.2638,12.8,3.33,729.27,5773.27,1376.33,2399.71,2530.96,12080.27,0.3516,0.2631,0.443,0.294
48,Westfield Wok #48,Thai,Fine Dining,Waitakere,0.99,41.98,718,392,131,120,75,16456.16,5902.13,5420.84,3198.12,30977.25,0.3409,0.4434,0.3036,11.5,4.31,323.25,3549.59,-518.8,-476.49,366.58,2920.88,0.546,0.4018,0.3681,0.2301
49,Volcano Pizza #49,Indian,Fine Dining,Waitakere,0.9995,46.68,724,406,95,94,129,18952.08,4841.91,4943.27,6058.51,34795.77,0.3436,0.4264,0.2591,11.3,3.09,398.61,4358.98,-140.9,-143.85,994.85,5069.08,0.5608,0.2987,0.2956,0.4057
50,Tui Table #50,Burgers,Casual Dining,North Shore,1.0001,32.63,3104,1015,640,706,743,33119.45,22474.58,25891.41,24636.47,106121.91,0.2907,0.3138,0.249,5.7,2.89,2147.27,13098.74,3292.53,3793.09,7596.45,27780.81,0.327,0.3064,0.338,0.3557
51,Rangitoto Roast #51,Chinese,Fine Dining,Manukau,1.0247,46.36,866,441,105,129,191,20444.76,5488.31,6847.87,8893.56,41674.5,0.3805,0.5472,0.2272,7.6,1.77,338.07,1478.16,-850.14,-1060.74,304.93,-127.79,0.5092,0.2471,0.3035,0.4494
52,Blue Wave Sushi #52,Mexican,QSR,South Auckland,1.0094,32.36,6793,2275,1724,1406,1388,73619.0,63497.33,47880.43,45416.57,230413.33,0.277,0.3156,0.233,10.5,2.81,3900.28,29992.38,11073.93,8350.35,14602.43,64019.09,0.3349,0.3816,0.3112,0.3072
53,Urban Burger Bar #53,Burgers,Casual Dining,Manukau,1.031,37.48,2097,761,655,349,332,28522.28,28015.15,14548.82,12934.61,84020.86,0.3305,0.4037,0.2531,7.3,2.81,932.92,7581.22,355.79,184.77,2505.1,10626.88,0.3629,0.4903,0.2612,0.2485
54,Fenwick's Bistro #54,Korean BBQ,Casual Dining,Newmarket,0.99,43.56,2811,1123,587,513,588,48917.88,27956.87,24992.07,26948.89,128815.71,0.3179,0.3454,0.2447,8.5,1.3,764.4,16470.65,2572.03,2299.27,8309.29,29651.24,0.3995,0.3477,0.3039,0.3483
55,Fenwick's Bistro #55,Steakhouse,Bar/Pub,Auckland CBD,1.0108,33.82,2155,1015,380,549,211,34327.3,13847.33,21198.45,7185.88,76558.96,0.2284,0.3761,0.2894,11.0,2.21,466.31,13576.45,1469.2,2249.16,2375.71,19670.52,0.471,0.3333,0.4816,0.1851
56,Harbor Bites #56,Sushi,Cafe,Newmarket,1.0098,38.21,3213,1512,688,556,457,57773.52,29224.41,24174.36,18078.05,129250.34,0.2617,0.331,0.244,8.3,2.44,1115.08,23531.15,4772.35,3947.67,6248.11,38499.28,0.4706,0.4045,0.3269,0.2687
57,Silver Fern Diner #57,Indian,Cafe,East Auckland,0.992,30.21,4132,1772,855,893,612,53532.12,29161.1,29528.48,19348.23,131569.93,0.3215,0.3358,0.2,10.3,3.25,1989.0,18345.46,4161.29,4213.71,4641.64,31362.1,0.4288,0.3623,0.3784,0.2593
58,Ponsonby Pizza Co #58,Steakhouse,Casual Dining,Devonport,1.0087,33.53,3371,1101,932,549,789,36916.53,34162.07,20162.06,26950.89,118191.55,0.326,0.4106,0.2487,15.1,3.31,2611.59,9723.81,502.18,296.38,4487.27,15009.64,0.3266,0.4106,0.2419,0.3476
59,Rangitoto Roast #59,Indian,QSR,East Auckland,1.0302,32.24,6555,1851,1940,1384,1380,59676.24,69488.01,46482.96,45815.54,221462.75,0.2697,0.2186,0.2658,8.9,2.16,2980.8,30536.33,17087.1,11430.16,20463.01,79516.6,0.2824,0.4124,0.2942,0.2934
60,Volcano Pizza #60,Pizza,QSR,South Auckland,1.0071,29.79,4270,1313,1138,1144,675,39114.27,37883.2,39080.8,20223.81,136302.08,0.3092,0.3799,0.2618,13.6,3.32,2241.0,12160.63,1860.07,1918.87,4046.58,19986.15,0.3075,0.3848,0.3869,0.2283
61,The Brass Fork #61,Seafood,Cafe,Devonport,0.99,29.79,2802,1202,657,533,410,35807.58,21684.46,16722.03,12428.99,86643.06,0.2756,0.3591,0.3256,11.5,2.6,1066.0,13080.51,860.87,663.86,3474.31,18079.55,0.429,0.4106,0.3331,0.2562
62,Rangitoto Roast #62,Bar & Grill,Cafe,Waitakere,1.0047,32.39,3736,1627,1042,628,439,52698.53,37699.09,22664.17,14750.16,127811.95,0.3836,0.414,0.2616,4.4,0.89,390.71,10666.18,-2231.79,-1341.72,2594.72,9687.39,0.4355,0.4941,0.2978,0.2082
63,Urban Burger Bar #63,Pizza,QSR,North Shore,0.9985,33.94,4535,1205,1310,1061,959,40897.7,46556.59,40455.94,35127.45,163037.68,0.3086,0.2462,0.3064,5.6,2.27,2176.93,18207.66,6462.05,5615.28,13461.81,43746.8,0.2657,0.3934,0.3186,0.288
64,Pohutukawa Pub #64,Indian,Cafe,Devonport,0.9999,29.79,3878,1619,1158,588,513,48230.01,37421.76,18871.56,16500.29,121023.62,0.2686,0.3038,0.2794,6.6,3.99,2046.87,20623.15,5545.9,2796.77,5008.65,33974.47,0.4175,0.5126,0.2603,0.2271
65,Nikau Noodle House #65,Cafe/Brunch,Cafe,Devonport,1.0038,34.46,3549,1597,730,694,528,55032.62,27582.7,25050.14,19620.81,127286.27,0.3226,0.2919,0.2787,6.5,0.95,501.6,21215.08,2945.83,2675.35,7062.22,33898.48,0.45,0.374,0.3555,0.2705
66,Ocean & Vine #66,Seafood,Cafe,South Auckland,0.99,35.05,3469,1435,631,465,938,50296.75,22566.01,17024.58,33989.68,123877.02,0.2248,0.3625,0.2549,9.2,2.92,2738.96,20757.47,3560.92,2686.48,11288.58,38293.45,0.4137,0.3102,0.2286,0.4612
67,The Brass Fork #67,Bar & Grill,Cafe,Newmarket,0.99,36.03,4030,1501,1123,750,656,54081.03,45773.3,30571.76,23788.23,154214.32,0.2828,0.3533,0.2782,11.7,4.54,2978.24,19680.09,3922.77,2620.0,5678.3,31901.16,0.3725,0.444,0.2966,0.2594
68,Little Saigon #68,Bar & Grill,Casual Dining,Waitakere,1.0132,39.85,2967,1183,829,568,387,47142.55,36316.2,24590.41,15821.16,123870.32,0.3798,0.3568,0.257,13.9,1.96,758.52,12417.35,232.42,157.38,3408.77,16215.92,0.3987,0.4647,0.3184,0.2169
69,Golden Wok #69,Bakery/Desserts,QSR,South Auckland,1.0042,36.77,3738,1067,1065,716,890,39233.59,40600.66,27162.36,33347.64,140344.25,0.2965,0.2493,0.2851,10.6,2.8,2492.0,17819.9,6865.57,4593.16,12654.5,41933.13,0.2854,0.3987,0.2681,0.3332
70,Fenwick's Bistro #70,Vegan/Plant-Based,Bar/Pub,Auckland CBD,0.99,29.79,1589,731,270,312,276,21776.49,9057.77,10346.73,8231.33,49412.32,0.208,0.2767,0.2729,7.9,1.37,378.12,11221.43,2195.6,2508.05,3863.48,19788.56,0.46,0.3147,0.3636,0.3217
71,Tui Table #71,Indian,Bar/Pub,Waitakere,1.0138,34.89,2366,1225,318,256,567,42740.25,12351.17,9400.96,19933.35,84425.73,0.2481,0.3376,0.2517,3.0,4.59,2602.53,17707.29,2008.3,1528.6,5655.86,26900.05,0.5178,0.2787,0.2244,0.4969
72,Blue Wave Sushi #72,Pizza,Cafe,West Auckland,1.0091,29.79,3402,1288,901,818,395,38369.52,30023.54,27631.89,12193.67,108218.62,0.3236,0.3267,0.3098,9.7,2.71,1070.45,13417.82,1197.94,1102.51,3193.68,18911.95,0.3786,0.4262,0.3869,0.1868
73,The Copper Pan #73,Seafood,Cafe,Devonport,0.9943,31.42,2894,1119,695,479,601,35158.98,23386.57,15956.87,19396.54,93898.96,0.2913,0.3157,0.2928,9.6,2.85,1712.85,13817.48,2343.33,1598.88,5909.99,23669.68,0.3867,0.3915,0.2699,0.3386
74,Spice Route #74,Korean BBQ,Casual Dining,Manukau,0.99,36.0,2448,1093,461,429,465,39348.0,18770.84,16154.97,16981.53,91255.34,0.2948,0.4574,0.2666,10.1,4.29,1994.85,9750.43,-352.89,-303.71,2213.17,11307.0,0.4465,0.3402,0.3166,0.3432
75,Volcano Pizza #75,Bakery/Desserts,Bar/Pub,East Auckland,1.0145,35.42,2577,1026,401,411,739,36340.92,15251.97,15009.37,27674.92,94277.18,0.2394,0.3359,0.2844,16.9,3.53,2608.67,15433.99,2139.85,2105.81,9144.87,28824.52,0.3981,0.2585,0.265,0.4765
76,Fenwick's Bistro #76,Cafe/Brunch,Casual Dining,North Shore,1.0112,44.59,3144,1304,723,598,519,58145.36,35274.35,28971.3,23803.37,146194.38,0.3032,0.4435,0.2775,13.8,1.84,954.96,14728.22,-853.64,-701.11,5074.43,18247.9,0.4148,0.3929,0.325,0.2821
77,Ocean & Vine #77,Cafe/Brunch,Fine Dining,Devonport,1.0327,44.41,964,516,138,142,168,22915.56,6251.66,6801.86,7969.33,43938.41,0.3608,0.4233,0.254,12.2,2.09,351.12,4947.47,-238.19,-259.15,1369.46,5819.59,0.5353,0.308,0.317,0.375
78,Cafe Aroha #78,Burgers,Casual Dining,North Shore,1.0123,39.45,2451,847,587,433,584,33414.15,25561.64,19091.88,23482.95,101550.62,0.3601,0.3922,0.2821,6.1,3.34,1950.56,8276.68,-879.32,-656.76,3866.17,10606.77,0.3456,0.366,0.27,0.3641
79,Silver Fern Diner #79,Sushi,Casual Dining,East Auckland,1.0118,37.19,2269,890,522,493,364,33099.1,21613.91,19808.75,14120.23,88641.99,0.3516,0.3772,0.2614,7.7,2.11,768.04,8976.48,211.82,194.13,3061.37,12443.8,0.3922,0.3785,0.3575,0.264
80,Volcano Pizza #80,Steakhouse,QSR,Ponsonby,1.0095,32.26,5318,1749,1515,1202,852,56422.74,53454.57,41285.21,27890.41,179052.93,0.3137,0.2151,0.2517,9.2,0.89,758.28,26586.4,11733.28,9062.1,12383.68,59765.46,0.3289,0.4245,0.3368,0.2387
81,Hibiscus Grill #81,Steakhouse,Casual Dining,Newmarket,1.0183,38.02,2353,878,595,482,398,33381.56,24534.64,19315.5,15731.55,92963.25,0.2801,0.4514,0.2313,6.8,2.74,1090.52,8962.95,912.69,718.54,3133.4,13727.58,0.3731,0.4034,0.3268,0.2698
82,The Copper Pan #82,Chinese,QSR,Newmarket,1.0214,33.57,5515,2036,1217,1161,1101,68348.52,45973.45,41163.56,37411.39,192896.92,0.2602,0.2932,0.2692,11.3,1.17,1288.17,30524.45,8155.69,7302.42,15419.76,61402.32,0.3692,0.3498,0.3337,0.3165
83,Ponsonby Pizza Co #83,Indian,Casual Dining,Newmarket,1.0248,42.08,2947,943,703,793,508,39681.44,32794.23,38061.86,21652.96,132190.49,0.336,0.4173,0.297,10.7,4.58,2326.64,9789.41,-1649.55,-1914.51,3015.15,9240.5,0.32,0.3508,0.3957,0.2535
84,Kiwi Kitchen Co #84,Mexican,Bar/Pub,Manukau,0.9942,41.77,1618,768,304,346,200,32079.36,13411.07,15051.62,8763.16,69305.21,0.2196,0.3024,0.2592,5.7,2.99,598.0,15333.93,2934.34,3293.29,3590.79,25152.35,0.4747,0.3576,0.4071,0.2353
85,Waterfront Grill #85,Thai,QSR,West Auckland,1.0055,33.08,3663,1329,904,632,798,43963.32,34230.86,24010.41,26954.91,129159.5,0.2932,0.2918,0.35,13.7,1.8,1436.4,18244.78,2225.01,1560.68,9749.89,31780.36,0.3628,0.3873,0.2708,0.3419
86,Gecko Cafe #86,Mexican,Casual Dining,Ponsonby,0.9988,40.06,2149,735,446,490,478,29444.1,19866.85,20856.23,19412.73,89579.91,0.3291,0.3367,0.3066,9.9,2.03,970.34,9840.22,548.33,575.63,5517.39,16481.57,0.342,0.3154,0.3465,0.338
87,Golden Wok #87,Bakery/Desserts,QSR,Ponsonby,1.0239,29.79,6584,2169,2014,1365,1036,64614.51,68902.55,41943.87,33158.03,208618.96,0.2659,0.3618,0.3191,3.4,0.89,922.04,24055.98,3665.62,2231.41,11422.69,41375.7,0.3294,0.4562,0.3092,0.2347
88,Ocean & Vine #88,Indian,Casual Dining,Newmarket,1.0285,37.69,2909,1063,520,443,883,40064.47,22465.4,17570.4,33394.76,113495.03,0.2893,0.3956,0.3039,9.3,1.59,1403.97,12624.31,251.61,196.79,9118.72,22191.43,0.3654,0.2817,0.24,0.4783
89,Tui Table #89,Cafe/Brunch,QSR,Waitakere,1.0051,35.29,4198,1435,1142,969,652,50641.15,45921.51,35139.61,24049.36,155751.63,0.2972,0.3184,0.3356,10.5,3.92,2555.84,19466.46,2240.97,1714.81,6688.73,30110.97,0.3418,0.4133,0.3507,0.236
90,Kiwi Kitchen Co #90,Bakery/Desserts,Bar/Pub,North Shore,0.9956,39.03,2703,1231,494,564,414,48045.93,21559.78,24713.99,16867.15,111186.85,0.2751,0.4079,0.2564,12.9,5.25,2173.5,15230.56,1306.52,1497.67,3173.39,21208.14,0.4554,0.3356,0.3832,0.2812
